_time,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_NOK,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_OK,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_PAUSA,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_PROD,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_SOLL,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_TREND,120210R01_FB_SEAT_Statistik_ZAU.120210R01.POR_Calidad,120210R01_FB_SEAT_Statistik_ZAU.120210R01.POR_D_TECNICA,120210R01_FB_SEAT_Statistik_ZAU.120210R01.POR_Disponibilidad,120210R01_FB_SEAT_Statistik_ZAU.120210R01.POR_OEE,120210R01_FB_SEAT_Statistik_ZAU.120210R01.POR_Rendimiento,120210R01_FB_SEAT_Statistik_ZAU.120210R01.SP_OK_Calidad,120210R01_FB_SEAT_Statistik_ZAU.120210R01.SP_OK_Disponibilidad,120210R01_FB_SEAT_Statistik_ZAU.120210R01.SP_OK_Eficiencia,120210R01_FB_SEAT_Statistik_ZAU.120210R01.SP_OK_OEE,120210R01_FB_SEAT_Statistik_ZAU.120210R01.SP_SOLL,120210R01_FB_SEAT_Statistik_ZAU.120210R01.SP_Stoe_Calidad,120210R01_FB_SEAT_Statistik_ZAU.120210R01.SP_Stoe_Disponibilidad,120210R01_FB_SEAT_Statistik_ZAU.120210R01.SP_Stoe_Eficiencia,120210R01_FB_SEAT_Statistik_ZAU.120210R01.SP_Stoe_OEE,120210R01_FB_SEAT_Statistik_ZAU.120210R01.SP_TC_OBJ,120210R01_FB_SEAT_Statistik_ZAU.120210R01.SP_Warn_Calidad,120210R01_FB_SEAT_Statistik_ZAU.120210R01.SP_Warn_Disponibilidad,120210R01_FB_SEAT_Statistik_ZAU.120210R01.SP_Warn_Eficiencia,120210R01_FB_SEAT_Statistik_ZAU.120210R01.SP_Warn_OEE,120210R01_FB_SEAT_Statistik_ZAU.120210R01.ST_Averia,120210R01_FB_SEAT_Statistik_ZAU.120210R01.ST_EnCiclo_CO,120210R01_FB_SEAT_Statistik_ZAU.120210R01.ST_IN_LOG_IN,120210R01_FB_SEAT_Statistik_ZAU.120210R01.ST_IN_LOG_OUT,120210R01_FB_SEAT_Statistik_ZAU.120210R01.ST_Instal_en_BREAK,120210R01_FB_SEAT_Statistik_ZAU.120210R01.ST_Instal_en_PAUSA,120210R01_FB_SEAT_Statistik_ZAU.120210R01.ST_Instal_en_seq,120210R01_FB_SEAT_Statistik_ZAU.120210R01.Status_W_Stoe,120210R01_FB_SEAT_Statistik_ZAU.120210R01.Stoe,120210R01_FB_SEAT_Statistik_ZAU.120210R01.StrARG,120210R01_FB_SEAT_Statistik_ZAU.120210R01.StrInstalación,120210R01_FB_SEAT_Statistik_ZAU.120210R01.StrPlataforma,120210R01_FB_SEAT_Statistik_ZAU.120210R01.StrSubzona,120210R01_FB_SEAT_Statistik_ZAU.120210R01.T_Averia_ACT,120210R01_FB_SEAT_Statistik_ZAU.120210R01.T_Averia_ACU,120210R01_FB_SEAT_Statistik_ZAU.120210R01.T_Ciclo_ACT,120210R01_FB_SEAT_Statistik_ZAU.120210R01.T_Ciclo_Logistico,120210R01_FB_SEAT_Statistik_ZAU.120210R01.T_Ciclo_Medio,120210R01_FB_SEAT_Statistik_ZAU.120210R01.T_LOG_IN_ACT,120210R01_FB_SEAT_Statistik_ZAU.120210R01.T_LOG_IN_ACU,120210R01_FB_SEAT_Statistik_ZAU.120210R01.T_LOG_OUT_ACT,120210R01_FB_SEAT_Statistik_ZAU.120210R01.T_LOG_OUT_ACU,120210R01_FB_SEAT_Statistik_ZAU.120210R01.T_Mem_Ciclo_Ant,120210R01_FB_SEAT_Statistik_ZAU.120210R01.T_Neto,120210R01_FB_SEAT_Statistik_ZAU.120210R01.T_Neto_Disponible,120210R01_FB_SEAT_Statistik_ZAU.120210R01.T_Paro_No_Programado,120210R01_FB_SEAT_Statistik_ZAU.120210R01.Version_FB
2024-09-12 20:18:10.877893+00:00,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-12 20:18:10.877894+00:00,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-12 20:18:10.877895+00:00,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-12 20:18:10.877896+00:00,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-12 20:18:10.877897+00:00,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-12 20:18:10.877898+00:00,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-12 20:18:10.877899+00:00,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-12 20:18:10.877900+00:00,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-12 20:18:10.877901+00:00,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-12 20:18:10.877902+00:00,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-12 20:18:10.877903+00:00,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-12 20:18:10.877904+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
2024-09-12 20:18:10.877905+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
2024-09-12 20:18:10.877906+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
2024-09-12 20:18:10.877907+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-12 20:18:10.877908+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-12 20:18:10.877909+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-12 20:18:10.877910+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-12 20:18:25.895603+00:00,,,,,,,,,,303.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-12 20:18:25.895605+00:00,,,,,,,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-12 20:18:25.895606+00:00,,,,,,,,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-12 20:18:25.895607+00:00,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-12 20:18:25.895608+00:00,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-12 20:18:25.895609+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,
2024-09-12 20:18:25.895610+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
2024-09-12 20:18:25.895611+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,
2024-09-12 20:18:25.895612+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,
2024-09-12 20:18:25.895613+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,
2024-09-12 20:18:25.895614+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
2024-09-12 20:18:25.895615+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
2024-09-12 20:18:25.895616+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
2024-09-12 20:18:25.895617+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,
2024-09-12 20:18:25.895618+00:00,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-12 20:18:25.895619+00:00,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-12 20:18:25.895620+00:00,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-12 20:18:25.895621+00:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-12 20:18:25.895622+00:00,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-12 20:18:25.895623+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
2024-09-12 20:18:25.895624+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
2024-09-12 20:18:25.895625+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-12 20:18:25.895626+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-12 20:18:25.895627+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
2024-09-12 20:18:25.895628+00:00,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-12 20:18:25.895629+00:00,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-12 20:18:25.895630+00:00,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-12 20:18:25.895631+00:00,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-12 20:18:25.895632+00:00,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-12 20:18:25.895634+00:00,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-12 20:18:25.895635+00:00,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-12 20:18:25.895636+00:00,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-12 20:18:25.895637+00:00,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-12 20:18:25.895638+00:00,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-12 20:18:25.895639+00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-12 20:18:25.895640+00:00,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-12 20:18:25.895641+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
2024-09-12 20:18:25.895642+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
2024-09-12 20:18:25.895643+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
2024-09-12 20:18:25.895644+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-12 20:18:25.895645+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-12 20:18:25.895646+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-12 20:18:25.895647+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-12 20:18:40.903007+00:00,,,,,,,,,,303.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-12 20:18:40.903009+00:00,,,,,,,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-12 20:18:40.903010+00:00,,,,,,,,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-12 20:18:40.903011+00:00,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-12 20:18:40.903012+00:00,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-12 20:18:40.903013+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
2024-09-12 20:18:40.903014+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-09-12 20:18:40.903015+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
2024-09-12 20:18:40.903016+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,
2024-09-12 20:18:40.903017+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,
2024-09-12 20:18:40.903018+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,
2024-09-12 20:18:40.903019+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
2024-09-12 20:18:40.903020+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,
2024-09-12 20:18:40.903021+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
2024-09-12 20:18:40.903022+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,
2024-09-12 20:18:40.903023+00:00,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-12 20:18:40.903024+00:00,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-12 20:18:40.903025+00:00,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-12 20:18:40.903026+00:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-12 20:18:40.903027+00:00,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-12 20:18:40.903028+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
2024-09-12 20:18:40.903029+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
2024-09-12 20:18:40.903030+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
2024-09-12 20:18:40.903031+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-12 20:18:40.903032+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-12 20:18:40.903033+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-12 20:18:40.903034+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
2024-09-12 20:18:40.903035+00:00,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-12 20:18:40.903036+00:00,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-12 20:18:40.903037+00:00,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-12 20:18:40.903038+00:00,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-12 20:18:40.903047+00:00,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-12 20:18:40.903048+00:00,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-12 20:18:40.903049+00:00,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-12 20:18:40.903050+00:00,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-12 20:18:40.903051+00:00,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-12 20:18:40.903052+00:00,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-12 20:18:40.903494+00:00,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-12 20:18:40.903495+00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-12 20:18:40.903496+00:00,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-12 20:18:40.903497+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
2024-09-12 20:18:40.903498+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
2024-09-12 20:18:40.903499+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-12 20:18:40.903500+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
2024-09-12 20:18:40.903501+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
